Stocks,Weights in %
CG,2.6724975142722607e-14
HOLX,3.945767620643142e-15
DISH,0.0
PFG,1.7069131562621005e-14
DLTR,12.822600670452585
EBAY,4.1194450718228546e-14
GILD,3.312132338500892e-14
TROW,8.306275573483084e-14
REGN,5.701376680557637e-15
BMRN,1.0570050297910033e-14
LOGI,0.0
HSIC,3.12297073393305e-14
QCOM,1.8688622485451493e-15
SBNY,2.5685088812042946e-15
ORLY,39.43801051339279
CTSH,21.01959231037302
AMGN,8.163731058286132
LRCX,1.4211995072837584e-15
TSCO,1.3176390240102494e-14
PENN,2.5723309641608e-14
LPLA,1.0885457602755395
NTAP,7.096069033378606e-15
VRTX,4.390850346368054e-15
SSNC,1.1302741222918702e-14
TTWO,1.0702837655889187e-14
CDW,0.0
AMAT,2.000133173455007e-15
AKAM,0.0
MXIM,17.467519687219955
LAMR,1.1279754242384749e-14
